cut_index,force_x_min,force_x_mean,force_x_std,force_x_kurtosis,force_x_spectral_kurtosis,force_y_max,force_y_std,force_y_spectral_kurtosis,force_y_spectral_skewness,force_z_max,force_z_min,force_z_std,force_z_skewness,force_z_kurtosis,acc_x_spectral_centroid,acc_x_spectral_kurtosis,acc_x_wavelet_energy_3000.0Hz,acc_x_wavelet_energy_1500.0Hz,acc_y_std,acc_y_rms,acc_y_spectral_centroid,acc_y_spectral_skewness,acc_y_wavelet_energy_3000.0Hz,acc_y_wavelet_energy_375.0Hz,acc_z_std,acc_z_rms,acc_z_spectral_kurtosis,acc_z_spectral_skewness,acc_z_wavelet_energy_3000.0Hz,acc_z_wavelet_energy_1500.0Hz,force_x_mean_lag-1,force_x_std_lag-1,force_y_std_lag-1,acc_x_std_lag-1,acc_y_std_lag-1,acc_z_std_lag-1
1,-2.501,0.4008572987229098,0.8424676717379895,-0.2451886548325785,15.514856941061488,10.724,1.635957131322887,16.35718379582343,3.443237701199836,4.56,-3.243,1.127486122418392,-0.0207632025536366,-0.1425350330694459,3009.0543217452164,1.7894082034916587,0.0568990094000539,0.0359788825878504,0.0763146487763654,0.0775092262032459,2995.572598581762,-0.266857171901302,0.0568040675632111,0.040270318197825,0.0765636090460004,0.0786969503961135,1.7840348539842552,-0.2736393334877958,0.0568089666073131,0.0351254713183197,0.0,0.0,0.0,0.0,0.0,0.0
2,-4.219,1.0281508640327666,1.864977021088831,0.0226391582826526,16.45872897470383,14.302,3.1499477139096896,14.398199540885308,3.141179103348567,7.41,-4.692,1.6835508253677955,0.2114506718358123,-0.2333083161286699,2951.207605446277,1.736133290539447,0.065089062154807,0.0527277075698407,0.0850265618796912,0.0857160611794128,2969.6812347236582,-0.1998315232500757,0.0646246781430397,0.0540249863985522,0.0869503032497926,0.087895496484791,1.7513117161643748,-0.2130259265549224,0.0650344803229227,0.0487045523614487,0.4008572987229098,0.8424676717379895,1.635957131322887,0.0763493576607198,0.0763146487763654,0.0765636090460004
3,-5.994,1.7760923539754931,2.672088407166396,0.0733174529786748,17.52140401166382,20.826,4.816019453071622,13.8018940527276,3.006206987540068,11.815,-5.611,2.689685142389344,0.3694323084083525,-0.3908254914807338,2845.7533911666637,1.6994222483310966,0.0741260462604569,0.0804863417452194,0.0938164897887089,0.0943331040186907,2889.558558517184,-0.0948369084462336,0.0717693914355486,0.066786573844621,0.0980381860762393,0.0987424829043003,1.7011339980558078,-0.0967849166300982,0.0731312312236013,0.0693271916677913,1.0281508640327666,1.864977021088831,3.1499477139096896,0.0853500415044722,0.0850265618796912,0.0869503032497926
4,-6.157,2.1049203423304808,2.9925545901456307,0.1025479260629964,17.87469668344943,24.148,5.532462218666209,13.524782976774029,2.961414346572318,12.852,-8.489,3.121334384885657,0.3639167199434181,-0.4271655225456383,2824.717644589176,1.679792974912327,0.0769299922488325,0.0809357282109587,0.0971250925080719,0.09724514553364,2894.293958844771,-0.07944622611206,0.0748084532076203,0.0718937233334232,0.1020879988846944,0.1022587334699582,1.6884532689354492,-0.0909939316715495,0.0758580548008658,0.0702042227139628,1.7760923539754931,2.672088407166396,4.816019453071622,0.0956411149267373,0.0938164897887089,0.0980381860762393
5,-4.288,2.8313841145892646,2.979756984305883,0.0169360476804767,17.55654809606798,24.337,5.74737885234251,13.643096707355594,2.9692459779133213,11.704,-7.805,3.2946511965853307,0.395814175360402,-0.4477433051286548,2712.185334063221,1.6997585549962968,0.0624172389526801,0.0786752537302196,0.0813495789214139,0.0840963065060281,2779.3363784202256,0.04316686636014,0.0602878514661152,0.0728044728730342,0.087516307293544,0.0920561384381079,1.6794003435742533,0.0367981085476136,0.0610676912494159,0.0684477465264411,2.1049203423304808,2.9925545901456307,5.532462218666209,0.0990315605852506,0.0971250925080719,0.1020879988846944
6,-4.167,2.930667848624147,2.9870662669362,-0.0506472474151125,18.32399091100838,26.583,5.896984506734907,13.53531884414282,2.9495688161685134,12.352,-7.671,3.481781686797069,0.430771554715858,-0.442988828872648,2770.61582009952,1.6698473028198533,0.0613816693918406,0.0783350700799147,0.0810150300684204,0.0824498112619597,2844.824463590762,-0.0004052584003587,0.0593374542818621,0.0751492859907957,0.0869980218875918,0.0888974771527321,1.6604557775420656,-0.0006640011414408,0.060233876182572,0.0693705322563181,2.8313841145892646,2.979756984305883,5.74737885234251,0.0836720948268036,0.0813495789214139,0.087516307293544
7,-4.91,3.0169100152493304,3.015798810892071,0.0067080552387506,18.111498834878333,27.215,6.0128459159991525,14.072743888481062,3.029981920777044,13.221,-8.402,3.654955805806966,0.4454010542607002,-0.4259171534314321,2734.1087058172275,1.683854803829724,0.062677815610776,0.075454380547375,0.0817622287841822,0.0830139565412493,2794.4867202330884,0.0221373868817644,0.0611330840821189,0.0752850442536716,0.0876301455521131,0.0895496496648511,1.6702812429493257,0.0036753812616007,0.0614769932569795,0.0657452185553234,2.930667848624147,2.9870662669362,5.896984506734907,0.0831992070077546,0.0810150300684204,0.0869980218875918
8,-4.147,3.0945889012705394,2.9761810822350148,-0.0532296368266438,17.47181949119617,26.872,6.084944348817404,13.320014789102435,2.9265377117670965,14.355,-7.821,3.744578635861521,0.4602306829820666,-0.4151818181825297,2670.349165687355,1.6955942590461843,0.0658600954184075,0.0723684293827051,0.0842751021520736,0.0847107724376337,2746.593252513588,0.0727577568189185,0.0645785753153925,0.0755606292947715,0.0895997738578761,0.0901956440154334,1.6747964480642794,0.0574821769447914,0.064908203727819,0.0626137913826525,3.0169100152493304,3.015798810892071,6.0128459159991525,0.0834012286325613,0.0817622287841822,0.0876301455521131
9,-5.616,2.71092382217894,2.87348862231112,-0.5724889726933973,15.069590264810408,26.321,5.861139431566507,10.641326286795124,2.551187954807799,14.216,-7.65,3.687839215902797,0.4382979590124526,-0.3934241024619958,2602.249290741323,1.7390571013885834,0.0589459176013554,0.0756818972333946,0.0771720439894788,0.0779057214803217,2717.022438272585,0.130719821473738,0.0563647621141065,0.0684213179609366,0.0837477849879276,0.0849688619056973,1.6776640151516171,0.0896299360674664,0.0577520402750768,0.0675155443168532,3.0945889012705394,2.9761810822350148,6.084944348817404,0.0858680630299347,0.0842751021520736,0.0895997738578761
10,-6.076,2.6893045978586563,2.861796677588893,-0.5150250610933815,15.462927456481491,25.764,5.897853036365624,11.204571239994518,2.6479602426599658,14.509,-8.133,3.731206606383557,0.4591723234378653,-0.3177980239429434,2653.6342954285524,1.7122079827902918,0.0561696843281521,0.0734107279182749,0.0756094449373386,0.0764034533607552,2754.2962895615165,0.063841691669427,0.0535540251130771,0.0703690083101318,0.0820258005688885,0.083084916632833,1.680865233562843,0.0677499763173758,0.0555104480784104,0.0681414747374243,2.71092382217894,2.87348862231112,5.861139431566507,0.080516581940187,0.0771720439894788,0.0837477849879276
